model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions,p_value,significant
Qwen_Qwen2.5-3B-Instruct-FC,maintenanceLine,763,original,391,2,maintenanceLine,1.950,66.12% vs 33.88%,4.28e-54,True
Qwen_Qwen2.5-7B-Instruct-FC,addExample,754,original,390,2,addExample,1.930,65.91% vs 34.09%,2.62e-52,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,addExample,622,original,333,2,addExample,1.870,65.13% vs 34.87%,6.25e-40,True
o1-2024-12-17-FC,companyName,752,original,403,2,companyName,1.870,65.11% vs 34.89%,8.69e-48,True
o1-2024-12-17-FC,addExample,743,original,405,2,addExample,1.830,64.72% vs 35.28%,3.40e-45,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,maintenanceLine,749,original,412,2,maintenanceLine,1.820,64.51% vs 35.49%,1.87e-44,True
o1-2024-12-17-FC,increaseLength,736,original,420,2,increaseLength,1.750,63.67% vs 36.33%,1.85e-39,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,increaseLength,278,original,169,2,increaseLength,1.640,62.19% vs 37.81%,3.08e-13,True
Qwen_Qwen2.5-3B-Instruct-FC,companyName,714,original,444,2,companyName,1.610,61.66% vs 38.34%,3.22e-29,True
o1-2024-12-17-FC,fusion,708,original,439,2,fusion,1.610,61.73% vs 38.27%,2.82e-29,True
Qwen_Qwen2.5-1.5B-Instruct-FC,addExample,622,original,425,2,addExample,1.460,59.41% vs 40.59%,7.30e-18,True
Qwen_Qwen2.5-0.5B-Instruct-FC,fusion,362,original,523,2,original,1.440,40.90% vs 59.10%,1.95e-14,True
Qwen_Qwen2.5-3B-Instruct-FC,increaseLength,645,original,458,2,increaseLength,1.410,58.48% vs 41.52%,1.68e-15,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,increaseLength,654,original,478,2,increaseLength,1.370,57.77% vs 42.23%,1.38e-13,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,numbersLine,151,original,110,2,numbersLine,1.370,57.85% vs 42.15%,3.32e-04,True
Qwen_Qwen2.5-1.5B-Instruct-FC,fusion,539,original,400,2,fusion,1.350,57.40% vs 42.60%,1.41e-10,True
Qwen_Qwen2.5-3B-Instruct-FC,addExample,623,original,460,2,addExample,1.350,57.53% vs 42.47%,2.48e-12,True
o1-2024-12-17-FC,makeCasual,658,original,507,2,makeCasual,1.300,56.48% vs 43.52%,3.94e-10,True
Qwen_Qwen2.5-14B-Instruct-FC,increaseLength,670,original,526,2,increaseLength,1.270,56.02% vs 43.98%,3.89e-09,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,makeCasual,141,original,177,2,original,1.260,44.34% vs 55.66%,4.30e-03,True
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,632,original,505,2,increaseLength,1.250,55.58% vs 44.42%,1.00e-07,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,companyName,640,original,514,2,companyName,1.250,55.46% vs 44.54%,1.56e-07,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,numbersLine,650,original,530,2,numbersLine,1.230,55.08% vs 44.92%,7.80e-07,True
Qwen_Qwen2.5-0.5B-Instruct-FC,addExample,414,original,483,2,original,1.170,46.15% vs 53.85%,1.12e-03,True
Qwen_Qwen2.5-14B-Instruct-FC,companyName,652,original,758,2,original,1.160,46.24% vs 53.76%,6.55e-05,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,makeProfessional,143,original,166,2,tie,1.160,46.28% vs 53.72%,6.43e-02,False
o1-2024-12-17-FC,makeProfessional,630,original,541,2,makeProfessional,1.160,53.80% vs 46.20%,2.35e-04,True
o1-2024-12-17-FC,numbersLine,625,original,539,2,numbersLine,1.160,53.69% vs 46.31%,3.64e-04,True
Qwen_Qwen2.5-32B-Instruct-FC,numbersLine,640,original,561,2,numbersLine,1.140,53.29% vs 46.71%,1.26e-03,True
Qwen_Qwen2.5-3B-Instruct-FC,numbersLine,609,original,545,2,numbersLine,1.120,52.77% vs 47.23%,7.71e-03,True
Qwen_Qwen2.5-32B-Instruct-FC,makeCasual,623,original,570,2,tie,1.090,52.22% vs 47.78%,3.00e-02,False
Qwen_Qwen2.5-3B-Instruct-FC,makeProfessional,591,original,546,2,tie,1.080,51.98% vs 48.02%,5.91e-02,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,makeCasual,590,original,548,2,tie,1.080,51.85% vs 48.15%,7.83e-02,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,makeProfessional,588,original,546,2,tie,1.080,51.85% vs 48.15%,7.78e-02,False
Qwen_Qwen2.5-0.5B-Instruct-FC,increaseLength,419,original,448,2,tie,1.070,48.33% vs 51.67%,1.64e-01,False
Qwen_Qwen2.5-32B-Instruct-FC,makeProfessional,617,original,575,2,tie,1.070,51.76% vs 48.24%,8.54e-02,False
Qwen_Qwen2.5-7B-Instruct-FC,companyName,598,original,559,2,tie,1.070,51.69% vs 48.31%,1.05e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,endorsementLine,481,original,452,2,tie,1.060,51.55% vs 48.45%,1.79e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,companyName,546,original,581,2,tie,1.060,48.45% vs 51.55%,1.40e-01,False
Qwen_Qwen2.5-14B-Instruct-FC,numbersLine,711,original,757,2,tie,1.060,48.43% vs 51.57%,8.95e-02,False
Qwen_Qwen2.5-0.5B-Instruct-FC,makeProfessional,477,original,456,2,tie,1.050,51.13% vs 48.87%,3.31e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,increaseLength,551,original,524,2,tie,1.050,51.26% vs 48.74%,2.44e-01,False
Qwen_Qwen2.5-3B-Instruct-FC,makeCasual,584,original,559,2,tie,1.040,51.09% vs 48.91%,2.96e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,makeProfessional,590,original,568,2,tie,1.040,50.95% vs 49.05%,3.61e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,numbersLine,592,original,569,2,tie,1.040,50.99% vs 49.01%,3.40e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,makeCasual,570,original,553,2,tie,1.030,50.76% vs 49.24%,4.73e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,makeProfessional,567,original,553,2,tie,1.030,50.62% vs 49.38%,5.54e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,numbersLine,471,original,462,2,tie,1.020,50.48% vs 49.52%,6.77e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,maintenanceLine,569,original,556,2,tie,1.020,50.58% vs 49.42%,5.84e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,numbersLine,557,original,566,2,tie,1.020,49.60% vs 50.40%,7.04e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,makeCasual,464,original,467,2,tie,1.010,49.84% vs 50.16%,8.89e-01,False
Qwen_Qwen2.5-14B-Instruct-FC,makeProfessional,705,original,715,2,tie,1.010,49.65% vs 50.35%,7.07e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,companyName,466,original,464,2,tie,1.000,50.11% vs 49.89%,9.26e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,maintenanceLine,466,original,465,2,tie,1.000,50.05% vs 49.95%,9.63e-01,False
Qwen_Qwen2.5-14B-Instruct-FC,makeCasual,685,original,683,2,tie,1.000,50.07% vs 49.93%,9.39e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,makeCasual,580,original,581,2,tie,1.000,49.96% vs 50.04%,9.67e-01,False
Qwen_Qwen2.5-32B-Instruct-FC,endorsementLine,1199,makeCasual,0,2,endorsementLine,inf,100.00% vs 0.00%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,endorsementLine,1194,makeProfessional,0,2,endorsementLine,inf,100.00% vs 0.00%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,companyName,1,endorsementLine,1202,2,endorsementLine,1202.000,0.08% vs 99.92%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,endorsementLine,1202,numbersLine,1,2,endorsementLine,1202.000,99.92% vs 0.08%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,fusion,1166,increaseLength,1,2,fusion,1166.000,99.91% vs 0.09%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,fusion,1164,maintenanceLine,3,2,fusion,388.000,99.74% vs 0.26%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,fusion,1171,numbersLine,4,2,fusion,292.750,99.66% vs 0.34%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,fusion,1168,makeProfessional,4,2,fusion,292.000,99.66% vs 0.34%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,fusion,1170,makeCasual,5,2,fusion,234.000,99.57% vs 0.43%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,companyName,6,fusion,1175,2,fusion,195.830,0.51% vs 99.49%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,endorsementLine,1183,increaseLength,10,2,endorsementLine,118.300,99.16% vs 0.84%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,companyName,10,endorsementLine,1181,2,endorsementLine,118.100,0.84% vs 99.16%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,addExample,10,endorsementLine,1166,2,endorsementLine,116.600,0.85% vs 99.15%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,addExample,11,fusion,1154,2,fusion,104.910,0.94% vs 99.06%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,endorsementLine,1183,numbersLine,12,2,endorsementLine,98.580,99.00% vs 1.00%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,companyName,13,fusion,1121,2,fusion,86.230,1.15% vs 98.85%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,fusion,1121,makeCasual,13,2,fusion,86.230,98.85% vs 1.15%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,fusion,1130,makeProfessional,16,2,fusion,70.620,98.60% vs 1.40%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,fusion,1119,numbersLine,16,2,fusion,69.940,98.59% vs 1.41%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,endorsementLine,1174,makeCasual,17,2,endorsementLine,69.060,98.57% vs 1.43%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,maintenanceLine,1179,makeProfessional,18,2,maintenanceLine,65.500,98.50% vs 1.50%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,endorsementLine,1168,makeProfessional,19,2,endorsementLine,61.470,98.40% vs 1.60%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,endorsementLine,1182,maintenanceLine,21,2,endorsementLine,56.290,98.25% vs 1.75%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,fusion,1107,maintenanceLine,22,2,fusion,50.320,98.05% vs 1.95%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,fusion,839,numbersLine,20,2,fusion,41.950,97.67% vs 2.33%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,maintenanceLine,1167,makeCasual,32,2,maintenanceLine,36.470,97.33% vs 2.67%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,companyName,27,fusion,860,2,fusion,31.850,3.04% vs 96.96%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,fusion,867,makeProfessional,29,2,fusion,29.900,96.76% vs 3.24%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,fusion,851,maintenanceLine,33,2,fusion,25.790,96.27% vs 3.73%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,fusion,886,makeCasual,37,2,fusion,23.950,95.99% vs 4.01%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,endorsementLine,1115,increaseLength,51,2,endorsementLine,21.860,95.63% vs 4.37%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,endorsementLine,1149,maintenanceLine,54,2,endorsementLine,21.280,95.51% vs 4.49%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,addExample,52,fusion,1079,2,fusion,20.750,4.60% vs 95.40%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,addExample,55,endorsementLine,1092,2,endorsementLine,19.850,4.80% vs 95.20%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,fusion,1063,increaseLength,57,2,fusion,18.650,94.91% vs 5.09%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1065,makeProfessional,60,2,fusion,17.750,94.67% vs 5.33%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1089,maintenanceLine,65,2,endorsementLine,16.750,94.37% vs 5.63%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1060,makeCasual,64,2,fusion,16.560,94.31% vs 5.69%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,companyName,67,endorsementLine,1094,2,endorsementLine,16.330,5.77% vs 94.23%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1091,makeProfessional,67,2,endorsementLine,16.280,94.21% vs 5.79%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,endorsementLine,992,maintenanceLine,63,2,endorsementLine,15.750,94.03% vs 5.97%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,companyName,65,endorsementLine,993,2,endorsementLine,15.280,6.14% vs 93.86%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,endorsementLine,998,makeProfessional,67,2,endorsementLine,14.900,93.71% vs 6.29%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1036,increaseLength,70,2,fusion,14.800,93.67% vs 6.33%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,addExample,54,fusion,795,2,fusion,14.720,6.36% vs 93.64%,2.96e-283,True
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1084,numbersLine,78,2,endorsementLine,13.900,93.29% vs 6.71%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,companyName,77,fusion,1055,2,fusion,13.700,6.80% vs 93.20%,0.00e+00,True
o1-2024-12-17-FC,endorsementLine,1089,makeProfessional,80,2,endorsementLine,13.610,93.16% vs 6.84%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,endorsementLine,992,makeCasual,75,2,endorsementLine,13.230,92.97% vs 7.03%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,companyName,86,maintenanceLine,1120,2,maintenanceLine,13.020,7.13% vs 92.87%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,endorsementLine,988,numbersLine,78,2,endorsementLine,12.670,92.68% vs 7.32%,0.00e+00,True
o1-2024-12-17-FC,endorsementLine,1079,numbersLine,88,2,endorsementLine,12.260,92.46% vs 7.54%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1061,makeCasual,90,2,endorsementLine,11.790,92.18% vs 7.82%,0.00e+00,True
o1-2024-12-17-FC,endorsementLine,1080,makeCasual,101,2,endorsementLine,10.690,91.45% vs 8.55%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,fusion,859,increaseLength,82,2,fusion,10.480,91.29% vs 8.71%,5.15e-281,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,endorsementLine,160,makeProfessional,16,2,endorsementLine,10.000,90.91% vs 9.09%,3.52e-53,True
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1006,numbersLine,104,2,fusion,9.670,90.63% vs 9.37%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,endorsementLine,164,makeCasual,17,2,endorsementLine,9.650,90.61% vs 9.39%,7.28e-54,True
Qwen_Qwen2.5-32B-Instruct-FC,maintenanceLine,1083,numbersLine,119,2,maintenanceLine,9.100,90.10% vs 9.90%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1001,maintenanceLine,111,2,fusion,9.020,90.02% vs 9.98%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,addExample,99,endorsementLine,820,2,endorsementLine,8.280,10.77% vs 89.23%,5.15e-248,True
o1-2024-12-17-FC,endorsementLine,1011,increaseLength,142,2,endorsementLine,7.120,87.68% vs 12.32%,7.95e-287,True
Qwen_Qwen2.5-14B-Instruct-FC,companyName,163,maintenanceLine,1120,2,maintenanceLine,6.870,12.70% vs 87.30%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,fusion,465,makeProfessional,70,2,fusion,6.640,86.92% vs 13.08%,7.29e-129,True
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,981,increaseLength,159,2,endorsementLine,6.170,86.05% vs 13.95%,9.04e-260,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,fusion,466,makeCasual,79,2,fusion,5.900,85.50% vs 14.50%,1.53e-121,True
o1-2024-12-17-FC,maintenanceLine,985,makeCasual,169,2,maintenanceLine,5.830,85.36% vs 14.64%,6.07e-253,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,companyName,86,fusion,486,2,fusion,5.650,15.03% vs 84.97%,1.11e-123,True
Qwen_Qwen2.5-7B-Instruct-FC,addExample,165,fusion,925,2,fusion,5.610,15.14% vs 84.86%,1.79e-232,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,fusion,452,maintenanceLine,81,2,fusion,5.580,84.80% vs 15.20%,2.47e-114,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,companyName,14,endorsementLine,77,2,endorsementLine,5.500,15.38% vs 84.62%,9.66e-21,True
o1-2024-12-17-FC,maintenanceLine,983,makeProfessional,181,2,maintenanceLine,5.430,84.45% vs 15.55%,2.49e-242,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,endorsementLine,108,numbersLine,20,2,endorsementLine,5.400,84.38% vs 15.62%,3.82e-28,True
o1-2024-12-17-FC,companyName,183,endorsementLine,973,2,endorsementLine,5.320,15.83% vs 84.17%,8.29e-237,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,fusion,441,numbersLine,83,2,fusion,5.310,84.16% vs 15.84%,2.15e-108,True
o1-2024-12-17-FC,addExample,182,endorsementLine,961,2,endorsementLine,5.280,15.92% vs 84.08%,6.50e-233,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,endorsementLine,874,increaseLength,170,2,endorsementLine,5.140,83.72% vs 16.28%,1.74e-208,True
Qwen_Qwen2.5-7B-Instruct-FC,addExample,188,endorsementLine,940,2,endorsementLine,5.000,16.67% vs 83.33%,4.73e-220,True
Qwen_Qwen2.5-32B-Instruct-FC,addExample,197,maintenanceLine,975,2,maintenanceLine,4.950,16.81% vs 83.19%,1.26e-226,True
o1-2024-12-17-FC,maintenanceLine,966,numbersLine,198,2,maintenanceLine,4.880,82.99% vs 17.01%,2.15e-222,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,addExample,95,endorsementLine,430,2,endorsementLine,4.530,18.10% vs 81.90%,5.62e-95,True
o1-2024-12-17-FC,fusion,929,increaseLength,225,2,fusion,4.130,80.50% vs 19.50%,8.22e-189,True
Qwen_Qwen2.5-32B-Instruct-FC,increaseLength,236,maintenanceLine,953,2,maintenanceLine,4.040,19.85% vs 80.15%,4.54e-190,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,addExample,109,fusion,438,2,fusion,4.020,19.93% vs 80.07%,4.61e-88,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,fusion,406,increaseLength,102,2,fusion,3.980,79.92% vs 20.08%,4.10e-81,True
o1-2024-12-17-FC,companyName,259,maintenanceLine,911,2,maintenanceLine,3.520,22.14% vs 77.86%,4.74e-160,True
Qwen_Qwen2.5-32B-Instruct-FC,endorsementLine,264,fusion,925,2,fusion,3.500,22.20% vs 77.80%,7.56e-162,True
Qwen_Qwen2.5-32B-Instruct-FC,addExample,912,makeCasual,268,2,addExample,3.400,77.29% vs 22.71%,6.85e-155,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,endorsementLine,85,maintenanceLine,25,2,endorsementLine,3.400,77.27% vs 22.73%,5.95e-16,True
Qwen_Qwen2.5-32B-Instruct-FC,addExample,898,makeProfessional,276,2,addExample,3.250,76.49% vs 23.51%,2.36e-145,True
Qwen_Qwen2.5-3B-Instruct-FC,fusion,814,makeCasual,253,2,fusion,3.220,76.29% vs 23.71%,2.61e-130,True
Qwen_Qwen2.5-3B-Instruct-FC,endorsementLine,876,numbersLine,274,2,endorsementLine,3.200,76.17% vs 23.83%,4.37e-139,True
Qwen_Qwen2.5-3B-Instruct-FC,fusion,794,increaseLength,248,2,fusion,3.200,76.20% vs 23.80%,1.87e-126,True
o1-2024-12-17-FC,addExample,275,maintenanceLine,878,2,maintenanceLine,3.190,23.85% vs 76.15%,3.49e-139,True
Qwen_Qwen2.5-3B-Instruct-FC,fusion,805,makeProfessional,263,2,fusion,3.060,75.37% vs 24.63%,1.19e-121,True
Qwen_Qwen2.5-3B-Instruct-FC,addExample,261,fusion,796,2,fusion,3.050,24.69% vs 75.31%,8.55e-120,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,endorsementLine,248,increaseLength,82,2,endorsementLine,3.020,75.15% vs 24.85%,3.34e-38,True
Qwen_Qwen2.5-3B-Instruct-FC,fusion,789,numbersLine,264,2,fusion,2.990,74.93% vs 25.07%,7.31e-116,True
Qwen_Qwen2.5-3B-Instruct-FC,companyName,290,endorsementLine,861,2,endorsementLine,2.970,25.20% vs 74.80%,3.18e-125,True
Qwen_Qwen2.5-14B-Instruct-FC,maintenanceLine,983,makeCasual,335,2,maintenanceLine,2.930,74.58% vs 25.42%,1.37e-140,True
Qwen_Qwen2.5-14B-Instruct-FC,maintenanceLine,1009,makeProfessional,346,2,maintenanceLine,2.920,74.46% vs 25.54%,4.05e-143,True
Qwen_Qwen2.5-3B-Instruct-FC,endorsementLine,852,makeCasual,293,2,endorsementLine,2.910,74.41% vs 25.59%,1.02e-120,True
Qwen_Qwen2.5-3B-Instruct-FC,endorsementLine,853,makeProfessional,294,2,endorsementLine,2.900,74.37% vs 25.63%,1.65e-120,True
Qwen_Qwen2.5-32B-Instruct-FC,addExample,865,numbersLine,311,2,addExample,2.780,73.55% vs 26.45%,1.58e-115,True
Qwen_Qwen2.5-3B-Instruct-FC,companyName,301,fusion,784,2,fusion,2.600,27.74% vs 72.26%,1.60e-95,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,addExample,434,makeProfessional,172,2,addExample,2.520,71.62% vs 28.38%,3.37e-51,True
Qwen_Qwen2.5-3B-Instruct-FC,endorsementLine,772,increaseLength,326,2,endorsementLine,2.370,70.31% vs 29.69%,8.78e-81,True
Qwen_Qwen2.5-14B-Instruct-FC,addExample,825,companyName,349,2,addExample,2.360,70.27% vs 29.73%,6.18e-86,True
o1-2024-12-17-FC,increaseLength,354,maintenanceLine,816,2,maintenanceLine,2.310,30.26% vs 69.74%,2.46e-81,True
Qwen_Qwen2.5-3B-Instruct-FC,fusion,740,maintenanceLine,323,2,fusion,2.290,69.61% vs 30.39%,3.98e-73,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,maintenanceLine,185,makeProfessional,82,2,maintenanceLine,2.260,69.29% vs 30.71%,4.90e-19,True
o1-2024-12-17-FC,fusion,805,makeCasual,356,2,fusion,2.260,69.34% vs 30.66%,1.65e-77,True
Qwen_Qwen2.5-32B-Instruct-FC,addExample,802,companyName,371,2,addExample,2.160,68.37% vs 31.63%,7.48e-71,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,maintenanceLine,193,makeCasual,91,2,maintenanceLine,2.120,67.96% vs 32.04%,1.13e-17,True
