model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions,p_value,significant
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,fusion,851,maintenanceLine,33,2,fusion,25.790,96.27% vs 3.73%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,fusion,886,makeCasual,37,2,fusion,23.950,95.99% vs 4.01%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,endorsementLine,992,maintenanceLine,63,2,endorsementLine,15.750,94.03% vs 5.97%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,companyName,65,endorsementLine,993,2,endorsementLine,15.280,6.14% vs 93.86%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,endorsementLine,998,makeProfessional,67,2,endorsementLine,14.900,93.71% vs 6.29%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,addExample,54,fusion,795,2,fusion,14.720,6.36% vs 93.64%,2.96e-283,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,endorsementLine,992,makeCasual,75,2,endorsementLine,13.230,92.97% vs 7.03%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,endorsementLine,988,numbersLine,78,2,endorsementLine,12.670,92.68% vs 7.32%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,fusion,859,increaseLength,82,2,fusion,10.480,91.29% vs 8.71%,5.15e-281,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,addExample,99,endorsementLine,820,2,endorsementLine,8.280,10.77% vs 89.23%,5.15e-248,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,endorsementLine,874,increaseLength,170,2,endorsementLine,5.140,83.72% vs 16.28%,1.74e-208,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,endorsementLine,333,fusion,618,2,fusion,1.860,35.02% vs 64.98%,4.90e-39,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,addExample,642,numbersLine,392,2,addExample,1.640,62.09% vs 37.91%,4.04e-28,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,addExample,601,companyName,407,2,addExample,1.480,59.62% vs 40.38%,5.55e-18,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,addExample,611,makeProfessional,412,2,addExample,1.480,59.73% vs 40.27%,1.38e-18,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,addExample,589,makeCasual,400,2,addExample,1.470,59.56% vs 40.44%,1.91e-17,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,maintenanceLine,673,makeProfessional,510,2,maintenanceLine,1.320,56.89% vs 43.11%,2.05e-11,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,increaseLength,660,makeProfessional,515,2,increaseLength,1.280,56.17% vs 43.83%,2.20e-09,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,maintenanceLine,659,makeCasual,517,2,maintenanceLine,1.270,56.04% vs 43.96%,4.74e-09,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,companyName,508,increaseLength,626,2,increaseLength,1.230,44.80% vs 55.20%,7.21e-07,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,addExample,544,increaseLength,449,2,addExample,1.210,54.78% vs 45.22%,2.01e-05,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,increaseLength,638,makeCasual,528,2,increaseLength,1.210,54.72% vs 45.28%,5.22e-06,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,addExample,529,maintenanceLine,444,2,addExample,1.190,54.37% vs 45.63%,1.16e-04,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,increaseLength,653,numbersLine,560,2,increaseLength,1.170,53.83% vs 46.17%,1.59e-04,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,maintenanceLine,590,numbersLine,629,2,tie,1.070,48.40% vs 51.60%,1.14e-01,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,increaseLength,591,maintenanceLine,556,2,tie,1.060,51.53% vs 48.47%,1.44e-01,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,makeProfessional,597,numbersLine,626,2,tie,1.050,48.81% vs 51.19%,2.41e-01,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,companyName,589,makeProfessional,573,2,tie,1.030,50.69% vs 49.31%,5.07e-01,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,makeCasual,597,makeProfessional,582,2,tie,1.030,50.64% vs 49.36%,5.37e-01,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,makeCasual,584,numbersLine,600,2,tie,1.030,49.32% vs 50.68%,5.11e-01,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,companyName,594,maintenanceLine,599,2,tie,1.010,49.79% vs 50.21%,8.38e-01,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,companyName,610,numbersLine,602,2,tie,1.010,50.33% vs 49.67%,7.45e-01,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,companyName,580,makeCasual,578,2,tie,1.000,50.09% vs 49.91%,9.34e-01,False
